sx,sy,ex,ey
0,0,324,720
952,0,1280,720
870,213,987,555
324,0,976,57
529,54,748,94
320,55,342,319
323,91,373,144
391,92,475,145
442,141,476,162
459,162,477,263
320,213,493,264
402,244,444,279
317,261,405,502
338,142,357,161
360,180,408,202
441,177,470,217
532,131,561,177
579,128,767,180
785,128,818,175
801,56,819,131
821,51,854,78
887,75,924,109
856,146,919,179
938,55,1042,266
734,214,919,263
733,179,749,223
403,300,424,340
482,299,527,318
513,213,545,265
528,176,545,219
625,195,654,227
564,196,576,227
702,197,712,229
565,282,575,318
703,283,714,314
564,336,575,367
704,334,714,364
733,259,751,386
785,284,836,350
855,384,875,434
668,387,837,437
698,434,818,454
700,452,717,572
717,506,820,554
803,489,819,525
940,556,969,720
326,659,630,720
648,658,818,720
819,656,950,720
700,591,715,685
713,608,819,720
648,625,707,720
562,624,631,720
563,590,579,646
459,607,568,720
323,503,496,556
513,505,579,554
400,330,544,379
512,376,544,400
529,383,613,434
529,433,578,453
443,420,497,436
460,387,478,418
344,559,354,591
376,561,391,590
411,558,425,587
445,557,455,586
458,554,475,606
532,561,543,585
600,558,610,585
668,561,680,591
685,535,700,551
580,472,604,503
597,503,603,522
676,473,706,501
674,501,681,523
858,589,921,634
751,560,765,591
788,559,801,589
801,454,818,470
564,552,577,572
321,555,338,661
