sx,sy,ex,ey
0,0,284,720
283,0,782,56
813,0,875,56
920,0,1280,70
935,67,1280,107
982,105,1280,720
858,53,875,189
876,150,950,193
966,150,988,191
918,193,935,238
845,299,937,345
860,389,983,435
874,432,892,538
892,493,949,547
964,495,989,538
785,388,828,432
831,404,844,433
785,101,829,147
845,102,867,147
737,54,754,207
752,101,770,147
799,144,815,395
815,300,827,341
815,495,875,553
935,583,982,720
709,630,937,720
560,659,709,720
633,617,647,672
586,539,722,586
281,53,345,100
393,103,437,148
453,99,499,147
527,52,543,208
512,101,531,146
280,101,301,330
349,147,407,192
345,194,362,236
348,253,365,448
368,268,423,314
454,268,482,312
466,145,483,274
466,311,483,447
483,408,542,449
526,445,541,478
529,267,546,358
546,330,587,358
573,312,600,330
588,332,601,466
600,342,616,390
663,344,691,386
679,327,754,358
695,313,753,330
738,251,751,319
601,435,634,478
650,435,725,480
676,386,690,438
770,405,782,508
753,435,769,476
784,493,798,538
464,492,483,632
282,631,574,720
284,584,345,636
285,492,423,537
405,537,421,584
286,539,302,596
405,600,421,642
512,557,542,584
482,541,499,586
282,359,301,505
585,584,721,599
544,90,569,160
570,103,586,147
497,287,524,373
480,314,515,355
298,209,325,311
316,282,345,341
395,209,419,236
418,223,434,249
531,210,628,264
590,181,624,313
514,225,546,251
542,259,605,308
614,283,644,340
651,195,691,265
680,179,720,311
717,210,747,244
668,263,692,325
718,239,737,310
710,75,741,117
833,211,873,236
850,226,884,264
863,251,902,279
894,345,918,371
908,361,934,389
925,377,946,404
770,343,802,388
756,511,787,569
741,542,827,566
757,552,809,597
807,548,870,567
809,564,854,579
880,604,917,632
860,616,885,633
380,347,403,359
394,362,418,370
367,451,419,477
346,445,434,463
439,511,464,553
421,527,457,551
454,543,465,567
349,558,403,615
425,603,461,631
546,513,583,598
606,496,646,524
589,479,631,494
516,483,541,534
538,499,571,554
501,496,540,522
530,535,558,558
574,196,605,207
364,74,479,86
468,77,478,98
367,86,376,150
