sx,sy,ex,ey
0,0,304,122
303,0,352,89
351,0,403,78
405,0,488,69
488,0,540,80
539,0,578,59
578,0,607,57
643,0,742,67
741,0,1280,39
804,38,1280,49
848,50,1280,101
662,68,730,78
663,78,721,91
667,93,710,113
636,107,673,152
653,93,672,111
623,112,638,182
640,152,650,172
651,150,662,163
605,126,622,197
582,125,605,203
582,199,599,236
564,121,582,245
540,112,566,256
517,113,548,235
483,113,529,173
434,104,471,163
468,118,500,163
509,172,535,194
424,112,452,172
413,135,440,201
396,166,439,207
383,177,424,224
377,195,423,229
365,208,457,296
352,220,394,297
277,228,351,307
277,308,312,326
455,217,494,306
493,238,502,302
503,246,514,285
413,297,456,307
426,308,487,320
425,318,463,338
0,154,341,191
346,113,370,161
321,133,353,184
334,125,365,173
364,102,381,144
0,120,277,151
276,143,324,165
0,190,298,204
0,227,277,720
1001,101,1280,720
277,662,332,720
331,651,367,720
340,641,358,670
365,657,389,720
390,676,421,720
414,659,449,720
447,678,461,720
460,691,473,720
276,558,309,637
308,559,318,626
317,569,441,608
319,608,329,626
333,607,350,617
391,605,463,619
443,578,451,636
427,614,451,683
277,362,319,535
312,350,358,536
351,340,382,495
353,492,370,543
362,330,400,429
374,427,390,482
399,339,412,432
385,426,400,452
409,351,422,412
421,360,433,399
405,496,434,535
416,479,435,524
426,443,438,526
433,430,480,543
446,422,485,548
456,380,493,450
466,362,502,430
477,350,513,418
485,339,523,410
508,329,534,409
526,319,549,391
538,298,620,379
546,288,676,380
567,277,583,376
651,279,668,341
675,290,719,322
674,323,689,357
691,317,745,349
722,299,742,350
743,307,793,359
630,382,682,413
622,379,645,391
662,393,689,452
684,402,707,451
708,413,804,450
736,404,803,467
724,449,813,462
753,393,803,492
763,381,782,502
746,466,815,481
774,472,842,526
793,450,828,588
779,529,882,578
797,493,856,607
842,505,884,605
860,528,907,617
878,535,910,629
908,547,947,616
928,554,1004,627
956,603,1002,637
474,475,507,566
488,487,525,578
521,486,536,564
537,475,556,555
549,444,566,535
558,423,597,524
568,411,595,461
593,432,606,502
599,440,617,492
702,144,726,200
715,134,726,205
724,125,734,151
734,112,751,151
745,103,762,153
753,92,771,145
764,81,781,110
782,105,799,133
801,114,842,138
826,102,866,133
840,93,874,119
874,99,949,131
948,98,1000,119
760,130,876,154
722,152,844,166
718,164,836,181
723,178,810,210
723,208,793,238
791,210,802,223
730,234,793,267
961,155,1007,532
983,145,1035,183
904,175,997,481
839,235,988,432
814,259,856,316
828,343,857,379
871,205,930,268
883,174,926,234
846,224,890,249
849,211,880,230
901,165,966,189
914,476,970,495
925,494,971,514
938,509,967,520
508,692,1006,720
528,663,895,720
929,660,1017,720
894,669,936,720
529,597,596,690
581,557,610,637
608,558,684,607
651,519,700,598
668,489,709,575
707,493,719,565
716,505,732,542
559,579,603,630
516,610,536,646
443,607,463,646
