sx,sy,ex,ey
674,0,1280,252
705,252,1280,271
717,268,1280,294
760,292,1280,356
773,352,1280,512
835,511,1280,720
762,565,844,720
667,547,766,636
656,560,678,619
693,686,761,720
657,693,712,720
0,0,566,258
0,256,532,299
0,300,502,356
0,358,489,385
0,385,435,606
433,388,464,574
464,402,508,515
529,553,602,651
0,608,349,720
347,651,436,720
430,665,565,720
468,630,533,668
563,680,593,720
513,578,533,604
457,610,474,634
466,532,493,559
548,433,563,461
572,464,580,488
562,509,579,532
688,398,775,518
796,529,826,575
661,484,669,499
732,342,744,367
668,637,770,694
