sx,sy,ex,ey
0,0,322,720
596,0,1280,71
625,70,1280,89
658,85,1280,100
684,99,1280,131
711,129,1280,174
772,173,1280,197
842,195,1280,228
914,229,1280,273
946,273,1280,301
957,346,1280,720
915,375,955,720
944,359,956,373
598,609,914,720
889,415,913,609
685,562,889,610
771,532,888,563
870,449,890,532
833,451,871,528
771,478,833,534
788,464,835,478
719,508,772,562
646,565,685,607
674,535,719,562
612,591,648,609
557,633,597,720
771,277,898,357
572,177,637,476
632,257,766,399
640,397,754,430
639,428,727,459
641,459,668,475
454,281,572,460
499,234,570,281
639,191,665,257
668,203,711,231
666,233,741,258
322,0,508,156
508,0,550,67
507,68,525,100
321,154,466,200
326,198,436,215
325,216,381,242
323,246,353,273
323,274,336,330
321,501,432,720
323,391,339,503
335,419,353,503
354,464,379,503
380,490,393,506
417,351,452,405
500,495,573,541
539,188,578,242
432,665,509,720
433,574,466,670
999,300,1280,347
467,155,496,172
511,460,570,479
