sx,sy,ex,ey
985,141,1280,720
853,448,986,608
928,606,984,720
849,171,984,301
927,140,986,170
423,139,582,173
618,169,815,301
578,204,617,446
617,300,755,447
635,444,812,554
618,297,793,445
406,202,580,562
852,609,910,625
253,639,928,720
253,607,813,637
252,593,658,609
254,577,370,593
254,188,369,254
254,256,309,283
256,283,369,365
251,366,327,544
326,396,368,542
251,544,293,576
251,29,423,141
421,27,1032,140
1032,0,1280,140
0,0,253,720
677,556,811,575
634,554,677,562
831,352,948,397
849,333,928,415
